timestamp_ms,ax,ay,az,label
3030836,-0.989746,-0.026855,-0.062988,left
3030857,-0.984619,-0.0271,-0.056885,left
3030878,-0.984619,-0.014648,-0.057617,left
3030899,-0.991943,-0.015381,-0.056641,left
3030920,-0.988037,-0.020996,-0.062744,left
3030941,-0.986572,-0.029053,-0.064209,left
3030962,-0.979492,-0.023437,-0.067139,left
3030983,-0.992432,-0.02002,-0.054687,left
3031004,-0.991943,-0.020996,-0.067627,left
3031025,-0.988281,-0.019531,-0.066406,left
3031046,-0.988525,-0.028809,-0.068604,left
3031067,-0.977783,-0.017822,-0.069092,left
3031088,-0.987549,-0.025146,-0.081055,left
3031109,-0.981201,-0.017334,-0.07251,left
3031130,-0.985596,-0.025146,-0.070312,left
3031151,-0.986572,-0.026611,-0.068848,left
3031172,-0.992187,-0.024414,-0.075439,left
3031193,-0.980469,-0.018555,-0.075195,left
3031214,-0.983887,-0.022217,-0.072754,left
3031235,-0.99292,-0.02832,-0.07251,left
3031256,-0.986816,-0.02124,-0.073975,left
3031277,-0.989258,-0.029297,-0.074463,left
3031298,-0.984619,-0.028076,-0.065186,left
3031319,-0.985596,-0.013672,-0.068848,left
3031340,-0.990479,-0.029297,-0.069336,left
3031361,-0.985107,-0.021729,-0.068115,left
3031382,-0.993164,-0.018799,-0.069824,left
3031403,-0.981689,-0.019775,-0.069336,left
3031424,-0.990967,-0.030518,-0.064453,left
3031450,-0.986816,-0.026611,-0.076172,left
3031471,-0.993164,-0.02002,-0.070557,left
3031492,-0.979492,-0.012939,-0.067627,left
3031513,-0.989502,-0.025146,-0.073242,left
3031534,-0.988037,-0.026367,-0.066895,left
3031555,-0.986084,-0.023682,-0.068848,left
3031576,-0.996826,-0.024902,-0.076416,left
3031597,-0.984131,-0.022705,-0.071045,left
3031618,-0.984131,-0.01416,-0.068359,left
3031639,-0.992432,-0.024902,-0.064453,left
3031660,-0.989014,-0.018799,-0.060791,left
3031681,-0.990234,-0.013184,-0.061768,left
3031702,-0.99585,-0.028564,-0.058838,left
3031723,-0.980225,-0.006592,-0.064941,left
3031744,-0.991455,-0.017578,-0.058105,left
3031765,-0.983887,-0.015137,-0.054932,left
3031786,-0.991211,-0.029297,-0.057617,left
3031807,-0.984131,-0.019043,-0.054687,left
3031828,-0.987793,-0.019043,-0.053955,left
3031849,-0.991455,-0.014893,-0.061768,left
3031870,-0.980957,-0.007324,-0.064941,left
3031891,-0.995117,-0.019531,-0.057373,left
3031912,-0.990723,-0.02124,-0.060791,left
3031933,-0.991699,-0.016357,-0.047852,left
3031954,-0.990234,-0.014893,-0.054443,left
3031975,-0.985352,-0.01416,-0.05542,left
3031996,-0.986816,-0.013184,-0.055176,left
3032017,-0.989014,-0.014648,-0.053711,left
3032038,-0.988037,-0.022461,-0.058105,left
3032059,-0.991211,-0.016357,-0.0625,left
3032080,-0.98877,-0.015869,-0.061523,left
3032101,-0.98999,-0.023682,-0.05542,left
3032122,-0.991455,-0.021484,-0.057129,left
3032143,-0.986572,-0.010742,-0.063965,left
3032164,-0.985352,-0.014893,-0.060791,left
3032185,-0.996338,-0.023926,-0.067139,left
3032206,-0.983398,-0.019531,-0.065918,left
3032227,-0.989746,-0.02002,-0.071533,left
